accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
E.1236-1993,1993.0,O204783,Print,,France,"Souchel, A.",artist,c. 1910,,,,,"Prints & Drawings Study Room, level C",False,False
E.1235-1993,1993.0,O204782,Print,,France,"Souchel, A.",artist,c. 1910,,,,,"Prints & Drawings Study Room, level C",False,False
E.1234-1993,1993.0,O204781,Print,,France,"Souchel, A.",artist,c. 1910,,,,,"Prints & Drawings Study Room, level C",False,False
E.1233-1993,1993.0,O204780,Print,,France,"Souchel, A.",artist,c. 1910,,,,,"Prints & Drawings Study Room, level C",False,False
E.1232-1993,1993.0,O204779,Print,,,Unknown,,1900,,,,,"Prints & Drawings Study Room, level C",False,False
E.1231-1993,1993.0,O204778,Print,,,Unknown,,1900,,,,,"Prints & Drawings Study Room, level C",False,False
E.1230-1993,1993.0,O204777,Print,,,Unknown,,1907,,,,,"Prints & Drawings Study Room, level C",False,False
E.1229-1993,1993.0,O204776,Print,,,Unknown,,1907,,,,,"Prints & Drawings Study Room, level C",False,False
E.1228-1993,1993.0,O204775,Print,,,Unknown,,1910,,,,,"Prints & Drawings Study Room, level C",False,False
E.1227-1993,1993.0,O204774,Print,,,Unknown,,,,,,,"Prints & Drawings Study Room, level C",False,False
E.1226-1993,1993.0,O204773,Print,,,Unknown,,1920,,,,,"Prints & Drawings Study Room, level C",False,False
E.1225-1993,1993.0,O204772,Print,,,Unknown,,1920,,,,,"Prints & Drawings Study Room, level C",False,False
E.754-1993,1993.0,O204109,Photograph,A portrait of two (?) Egyptian women.,,Unknown,,ca. 1885,2012FV9496,,,,"Prints & Drawings Study Room, level F",False,False
E.656-1993,1993.0,O204013,Print,"Crowns, Mitres, Maces etc.",Great Britain,William Hogarth,maker,1754,,paper,etching,,"Prints & Drawings Study Room, level C",False,False
E.539-1993,1993.0,O203878,Print,,London,Unknown,,1780,2015HJ4482,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.538-1993,1993.0,O203877,Print,,London,Unknown,,1780,2015HJ4478,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.537-1993,1993.0,O203876,Print,,London,Unknown,,1780,2015HJ4519,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.536-1993,1993.0,O203875,Print,,London,Unknown,,1780,2015HJ4485,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.535-1993,1993.0,O203874,Print,,London,Unknown,,1780,2015HJ4477,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.534-1993,1993.0,O203873,Print,,London,Unknown,,1780,2015HJ4476,printing ink,etching,,"Prints & Drawings Study Room, level C",False,False
E.362:217-1993,1993.0,O203694,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:216-1993,1993.0,O203693,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:215-1993,1993.0,O203692,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:214-1993,1993.0,O203691,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:213-1993,1993.0,O203690,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:212-1993,1993.0,O203689,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:211-1993,1993.0,O203688,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:210-1993,1993.0,O203687,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:209-1993,1993.0,O203686,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:208-1993,1993.0,O203685,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:207-1993,1993.0,O203684,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:206-1993,1993.0,O203683,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:205-1993,1993.0,O203682,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:204-1993,1993.0,O203681,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:203-1993,1993.0,O203680,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:202-1993,1993.0,O203679,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:201-1993,1993.0,O203678,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:200-1993,1993.0,O203677,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:199-1993,1993.0,O203676,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:198-1993,1993.0,O203675,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:197-1993,1993.0,O203674,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:196-1993,1993.0,O203673,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:195-1993,1993.0,O203672,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:194-1993,1993.0,O203671,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:193-1993,1993.0,O203670,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:192-1993,1993.0,O203669,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:191-1993,1993.0,O203668,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:190-1993,1993.0,O203667,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:189-1993,1993.0,O203666,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:188-1993,1993.0,O203665,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:187-1993,1993.0,O203664,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:186-1993,1993.0,O203663,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:185-1993,1993.0,O203662,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:184-1993,1993.0,O203661,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:183-1993,1993.0,O203660,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:182-1993,1993.0,O203659,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:181-1993,1993.0,O203658,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:180-1993,1993.0,O203657,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:179-1993,1993.0,O203656,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:178-1993,1993.0,O203655,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:177-1993,1993.0,O203654,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:176-1993,1993.0,O203653,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:175-1993,1993.0,O203652,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:174-1993,1993.0,O203651,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:173-1993,1993.0,O203650,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:172-1993,1993.0,O203649,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:171-1993,1993.0,O203648,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:170-1993,1993.0,O203647,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:169-1993,1993.0,O203646,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:168-1993,1993.0,O203645,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:167-1993,1993.0,O203644,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:166-1993,1993.0,O203643,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:165-1993,1993.0,O203642,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:164-1993,1993.0,O203641,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:163-1993,1993.0,O203640,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:162-1993,1993.0,O203639,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
